experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
SpectralCassian,11,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,10,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,9,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,8,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,7,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,6,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,5,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,4,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,3,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,2,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SpectralCassian,1,h,google/t5-v1_1-xxl,11,32,nf4,256,128,6,3,52.,22.
SereneTaris,0,h,NobleMortis/10,11,32,nf4,256,128,6,3,Non,19.
SereneVandor,10,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,9,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,8,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,7,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,6,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,5,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,4,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,3,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,2,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SereneVandor,1,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,53.,24.
SerendipitousAcklay,0,h,RelentlessPasaana/8,11,32,nf4,256,128,6,3,Non,23.
ResplendentWatto,11,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,10,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,9,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,8,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,7,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,6,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,5,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,4,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,3,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,2,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentWatto,1,h,ResoluteSerenno/21,11,32,nf4,256,128,6,3,53.,21.
ResplendentBespin,0,h,LivelyClakdorVII/11,11,32,nf4,256,128,6,3,Non,19.
ResoluteSerenno,21,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,54.,19.
ResoluteSerenno,20,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,54.,19.
ResoluteSerenno,19,h,google/flan-t5-xxl,11,32,nf4,256,128,6,3,54.,19.
